starttime,seconds,ctime,dtime,ttime,wait
Sun Dec 12 15:15:32 2021,1639340132,0,914,914,914
Sun Dec 12 15:15:32 2021,1639340132,0,915,915,915
Sun Dec 12 15:15:32 2021,1639340132,0,916,916,916
Sun Dec 12 15:15:35 2021,1639340135,0,916,916,916
Sun Dec 12 15:15:29 2021,1639340129,0,918,918,918
Sun Dec 12 15:15:40 2021,1639340140,0,923,923,920
Sun Dec 12 15:15:40 2021,1639340140,0,925,925,925
Sun Dec 12 15:15:30 2021,1639340130,0,925,925,925
Sun Dec 12 15:15:35 2021,1639340135,0,932,932,932
Sun Dec 12 15:15:40 2021,1639340140,0,932,932,932
Sun Dec 12 15:15:30 2021,1639340130,0,932,933,932
Sun Dec 12 15:15:33 2021,1639340133,0,938,938,938
Sun Dec 12 15:15:35 2021,1639340135,0,942,943,942
Sun Dec 12 15:15:40 2021,1639340140,0,949,949,949
Sun Dec 12 15:15:36 2021,1639340136,0,950,950,950
Sun Dec 12 15:15:36 2021,1639340136,0,952,952,952
Sun Dec 12 15:15:39 2021,1639340139,0,955,955,948
Sun Dec 12 15:15:30 2021,1639340130,0,956,956,956
Sun Dec 12 15:15:40 2021,1639340140,0,963,963,963
Sun Dec 12 15:15:36 2021,1639340136,0,964,964,964
Sun Dec 12 15:15:27 2021,1639340127,0,966,966,966
Sun Dec 12 15:15:38 2021,1639340138,0,967,968,964
Sun Dec 12 15:15:26 2021,1639340126,0,972,972,972
Sun Dec 12 15:15:36 2021,1639340136,0,976,976,975
Sun Dec 12 15:15:38 2021,1639340138,0,976,976,976
Sun Dec 12 15:15:30 2021,1639340130,0,986,986,986
Sun Dec 12 15:15:33 2021,1639340133,0,989,989,989
Sun Dec 12 15:15:32 2021,1639340132,0,990,990,990
Sun Dec 12 15:15:40 2021,1639340140,0,991,991,990
Sun Dec 12 15:15:24 2021,1639340124,10,983,993,982
Sun Dec 12 15:15:24 2021,1639340124,10,983,993,983
Sun Dec 12 15:15:35 2021,1639340135,0,994,994,993
Sun Dec 12 15:15:27 2021,1639340127,0,1001,1001,1000
Sun Dec 12 15:15:32 2021,1639340132,0,1003,1003,1003
Sun Dec 12 15:15:27 2021,1639340127,0,1005,1005,1005
Sun Dec 12 15:15:28 2021,1639340128,0,1005,1005,1005
Sun Dec 12 15:15:28 2021,1639340128,0,1005,1005,1005
Sun Dec 12 15:15:24 2021,1639340124,3,1004,1006,1003
Sun Dec 12 15:15:24 2021,1639340124,2,1007,1009,1007
Sun Dec 12 15:15:36 2021,1639340136,0,1010,1010,1009
Sun Dec 12 15:15:36 2021,1639340136,0,1013,1013,1012
Sun Dec 12 15:15:31 2021,1639340131,0,1017,1017,1017
Sun Dec 12 15:15:36 2021,1639340136,0,1018,1018,1018
Sun Dec 12 15:15:39 2021,1639340139,0,1021,1022,1021
