starttime,seconds,ctime,dtime,ttime,wait
Sun Dec 12 15:15:32 2021,1639340132,0,412,412,412
Sun Dec 12 15:15:39 2021,1639340139,0,413,413,413
Sun Dec 12 15:15:40 2021,1639340140,0,413,413,413
Sun Dec 12 15:15:39 2021,1639340139,0,414,414,414
Sun Dec 12 15:15:34 2021,1639340134,0,414,414,414
Sun Dec 12 15:15:34 2021,1639340134,0,414,414,414
Sun Dec 12 15:15:40 2021,1639340140,0,415,415,414
Sun Dec 12 15:15:29 2021,1639340129,0,417,417,417
Sun Dec 12 15:15:35 2021,1639340135,0,417,417,417
Sun Dec 12 15:15:29 2021,1639340129,0,418,418,418
Sun Dec 12 15:15:32 2021,1639340132,0,419,419,419
Sun Dec 12 15:15:24 2021,1639340124,2,418,420,417
Sun Dec 12 15:15:30 2021,1639340130,0,422,422,422
Sun Dec 12 15:15:34 2021,1639340134,0,422,422,422
Sun Dec 12 15:15:35 2021,1639340135,0,423,423,423
Sun Dec 12 15:15:28 2021,1639340128,0,424,424,424
Sun Dec 12 15:15:33 2021,1639340133,0,425,425,425
Sun Dec 12 15:15:34 2021,1639340134,0,426,426,425
Sun Dec 12 15:15:28 2021,1639340128,0,427,427,427
Sun Dec 12 15:15:36 2021,1639340136,0,428,428,428
Sun Dec 12 15:15:37 2021,1639340137,0,429,429,429
Sun Dec 12 15:15:38 2021,1639340138,0,430,430,430
Sun Dec 12 15:15:32 2021,1639340132,0,432,432,432
Sun Dec 12 15:15:39 2021,1639340139,0,432,432,432
Sun Dec 12 15:15:30 2021,1639340130,0,434,434,434
Sun Dec 12 15:15:36 2021,1639340136,0,435,435,435
Sun Dec 12 15:15:28 2021,1639340128,0,436,436,436
Sun Dec 12 15:15:26 2021,1639340126,0,438,438,438
Sun Dec 12 15:15:37 2021,1639340137,0,438,438,438
Sun Dec 12 15:15:38 2021,1639340138,0,438,438,438
Sun Dec 12 15:15:27 2021,1639340127,0,438,438,438
Sun Dec 12 15:15:29 2021,1639340129,0,438,438,438
Sun Dec 12 15:15:33 2021,1639340133,0,438,438,438
Sun Dec 12 15:15:34 2021,1639340134,0,439,439,439
Sun Dec 12 15:15:33 2021,1639340133,0,441,441,441
Sun Dec 12 15:15:33 2021,1639340133,0,442,442,442
Sun Dec 12 15:15:33 2021,1639340133,0,442,442,442
